[2021-03-29T16:09:04.097904+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.108148+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.115735+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.126594+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.134042+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.143331+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.171327+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.204412+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.217306+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.236222+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.266229+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.274256+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.283043+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.293733+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.312590+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.320076+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.329565+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.340434+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.358940+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.366877+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.376783+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.403482+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.411310+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.419906+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.427758+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.436597+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.447465+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.455676+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.467264+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.479256+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.487227+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.498360+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.506601+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.515496+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.522703+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.531327+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.539264+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.548723+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.576687+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.584553+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.594105+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.603968+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.624128+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.632053+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.641419+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.651308+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.670315+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.678020+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.686937+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.697221+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.717631+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.729403+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.747576+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.755655+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.777785+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.785623+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.794573+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.805750+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.813321+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.823895+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.855032+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.863217+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.872647+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.902874+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.934057+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.941848+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
